# ,,,,,,,
# 05/08/2026 17:06:28,,,,,,,
# The parameters defined in the project are:,,,,,,,
# ,P1 - chord_ratio_c_by_D,P2 - AoA_angle [degree],P3 - Y_offset [m],P4 - Pressure_Jump_Val [Pa],P5 - drag_duct-op [N],P6 - u_disk-op [m s^-1],P7 - cp_agmented-op [J m^-2 s^-1]
# ,,,,,,,
# The following header line defines the name of the columns by reference to the parameters.,,,,,,,
Name,P1,P2,P3,P4,P5,P6,P7
DP 0,0.358,-2.64,0.5341,274.91,4.5539999,0.82156089,0.45252515
DP 1,0.777,10.01,0.521,395.44,133.6168,0.75898013,0.60134463
DP 2,0.664,7.05,0.5152,207.72,52.31611,0.85455494,0.35565648
DP 3,0.528,-0.26,0.5075,296.23,-19.030191,1.296033,0.76923233
DP 4,0.492,1.23,0.5324,407.73,-15.739449,1.2728463,1.0398269
DP 5,0.715,-4.8,0.5351,426.21,-75.272089,1.574925,1.3449185
DP 6,0.48,-0.69,0.5091,449.02,-53.367032,1.4229726,1.2801907
DP 7,0.42,-3.96,0.5112,285.55,-38.268658,1.4083965,0.80578565
DP 8,0.7,0.2,0.5162,257.39,-6.5575529,1.2430875,0.6410705
DP 9,0.758,2.04,0.5191,302.31,10.497962,1.1612959,0.70340884
DP 10,0.596,2.24,0.5177,245.21,9.5287691,1.1289461,0.55465614
DP 11,0.339,4.75,0.5332,311.59,-49.629476,0.61580293,0.38444807
DP 12,0.64,13.08,0.506,226.91,,,
DP 13,0.611,12.29,0.5265,403.25,125.42543,0.78223471,0.63200991
DP 14,0.689,11.07,0.5131,339.57,125.18977,0.73148541,0.49767682
DP 15,0.603,-2.02,0.5195,321.43,-35.510972,1.3883475,0.89412247
DP 16,0.453,-4.55,0.532,440.21,-61.928137,1.4791683,1.3046377
DP 17,0.45,-2.32,0.5393,221.44,-14.769139,1.2785438,0.56726253
DP 18,0.329,-1.01,0.5274,342.81,-28.716863,0.68166973,0.46820917
DP 19,0.372,11.67,0.5277,375.95,62.581409,0.62511565,0.47087203
DP 20,0.678,12.69,0.5117,432.94,170.0136,0.71603748,0.62112055
DP 21,0.544,-3.47,0.5183,330.41,-46.534427,1.4471953,0.95806012
DP 22,0.805,-2.97,0.5366,391.89,-58.52422,1.5018374,1.1792327
DP 23,0.586,11.44,0.5081,345.35,114.88569,0.78169736,0.54089198
DP 24,0.822,4.35,0.5285,305.07,40.354813,1.0180757,0.62228885
DP 25,0.395,7.59,0.5338,297.24,32.392695,1.0157087,0.60490731
DP 26,0.874,4.46,0.5305,385.74,46.172332,1.0527502,0.81364029
DP 27,0.74,8.78,0.5217,370.42,103.17966,0.82922694,0.61543226
DP 28,0.55,6.38,0.5301,270.39,37.52416,0.98011928,0.53098468
DP 29,0.846,3.53,0.5206,259.58,33.428688,1.029337,0.53535421
DP 30,0.707,7.92,0.5383,315,68.158716,0.8909361,0.56230189
DP 31,0.796,10.78,0.5251,401.84,41.36373,0.44060055,0.35474039
DP 32,0.899,3.88,0.5388,246.72,35.673904,0.99966216,0.49416279
DP 33,0.623,5.52,0.5309,425.71,39.240882,1.0836583,0.92431209
DP 34,0.31,-4.21,0.5237,320.19,-32.367213,1.3554608,0.86957525
DP 35,0.764,9.85,0.51,236.4,94.631913,0.69560453,0.32947488
DP 36,0.746,13.67,0.5097,415.97,198.31164,0.61576288,0.51320153
DP 37,0.671,0.62,0.5292,203.94,3.2396093,1.1712401,0.47858686
DP 38,0.833,9.51,0.5361,352.99,112.03013,0.77060373,0.54501184
DP 39,0.86,1.36,0.5084,262.93,14.126348,1.163372,0.612874
DP 40,0.58,14.71,0.5136,351.56,143.96822,0.68588531,0.48312931
DP 41,0.726,10.51,0.5374,325.16,38.566738,0.51122719,0.33306078
DP 42,0.438,-1.86,0.5125,388.69,-45.375657,1.3998653,1.0901896
DP 43,0.513,9.08,0.5202,335.94,64.338202,0.92530547,0.62281531
DP 44,0.568,14.06,0.5144,278.6,106.69876,0.55616741,0.3104553
DP 45,0.779,-3.4,0.5167,436.26,-76.371106,0.54487512,0.47627173
DP 46,0.471,-0.52,0.5371,269.46,-12.866219,1.2513947,0.67561772
DP 47,0.649,5.23,0.5231,420.96,39.27885,1.0856774,0.91570177
DP 48,0.636,-1.51,0.5317,366.61,-36.960641,1.3820628,1.0151834
DP 49,0.407,0.66,0.5158,373.89,-20.92361,1.2842626,0.96207762
DP 50,0.386,5.63,0.5228,230.27,20.878306,1.0271192,0.47388247
DP 51,0.431,1.8,0.5109,290.58,-3.279103,1.1959918,0.69631595
DP 52,0.561,13.9,0.5068,283.16,,,
DP 53,0.326,7.25,0.5287,212.36,-28.133904,0.67464276,0.28705097
DP 54,0.308,8.71,0.5395,357.96,64.298769,0.69486139,0.49836222
DP 55,0.813,2.66,0.5052,238.81,30.930428,1.0554812,0.50502799
DP 56,0.522,2.84,0.5176,201.37,12.791146,1.0782348,0.43503134
DP 57,0.838,8.4,0.5066,412.46,,,
DP 58,0.375,6.06,0.5138,379.77,22.406848,1.1091896,0.84399309
DP 59,0.867,13.19,0.5225,253.8,134.93021,0.53911203,0.27414673
DP 60,0.461,14.44,0.5246,443.22,121.52351,0.83564172,0.74208199
DP 61,0.501,11.92,0.5255,361.8,90.219008,0.85486848,0.61969829
DP 62,0.353,6.74,0.5347,215.75,-28.556086,0.6750384,0.29180432
DP 63,0.886,3.36,0.5262,231.82,-45.011289,0.61725495,0.28670014
